point_id,x_px,y_px,z_mm
P001,132,1,818.25
P002,524,22,830.73
P003,879,41,844.06
P004,124,177,814.44
P005,514,198,830.08
P006,868,217,845.25
P007,115,376,814.79
P008,504,393,828.82
P009,857,409,841.14
P010,105,570,806.93
P011,494,584,823.92
P012,845,596,839.66
P013,96,778,817.78
P014,483,790,832.58
P015,833,801,845.43
P016,85,991,815.79
P017,473,996,830.58
P018,821,1000,844.22
P019,76,1187,821.41
P020,463,1189,837.53
P021,810,1191,850.82
P022,799,1362,851.23
P023,453,1364,836.30
P024,68,1366,819.01
